REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MAN_LABEL,STATUS,FEATURE_NUM
44767842,com.bestweatherfor.bibleoffline_pt_ra,5,,But i don't like the pop up ads,but i don t like the pop up ads,Ads,Ads,1,1
34141881,com.bestweatherfor.bibleoffline_pt_ra,4,,Good app...go offline to stop annoying ads.,good app go offline to stop annoying ads,Ads,Ads,1,1
34241382,com.bestweatherfor.bibleoffline_pt_ra,3,Ok,I like that it is an offline app and opens quickly. Don't like the flashing ads at the bottom. Very distracting.,ok i like that it is an offline app and opens quickly don t like the flashing ads at the bottom very distracting,Ads,Ads,1,2
34242924,com.bestweatherfor.bibleoffline_pt_ra,5,Just what I was looking for,The word of God that doesn't require internet access. It is what it says it is. I'm glad someone made this,just what i was looking for the word of god that doesn t require internet access it is what it says it is i m glad someone made this,Ads,Offline,0,1
23269300,com.bestweatherfor.bibleoffline_pt_ra,5,Love it,It comes in handy when I am in areas where there is no Internet signal.,love it it comes in handy when i am in areas where there is no internet signal,Ads,Offline,0,1
34242069,com.bestweatherfor.bibleoffline_pt_ra,3,Adverts,Too many pop-up adverts.,adverts too many pop up adverts,Ads,Ads,1,1
34334601,com.bestweatherfor.bibleoffline_pt_ra,1,I hate it because i am muslim,Be a muslim,i hate it because i am muslim be a muslim,Ads,Other,0,1
34429850,com.bestweatherfor.bibleoffline_pt_ra,4,Good,Still waiting to see what's happening with it,good still waiting to see what s happening with it,Ads,Appraisal,0,1
30583699,com.bestweatherfor.bibleoffline_pt_ra,5,Ms,It's a great App. If only d ads would be removed.,ms it s a great app if only d ads would be removed,Ads,Ads,1,1
34430420,com.bestweatherfor.bibleoffline_pt_ra,5,except the ad..everthing is great...,i can ask my friend to read with me....very good,except the ad everthing is great i can ask my friend to read with me very good,Ads,Ads,1,1
34496078,com.bestweatherfor.bibleoffline_pt_ra,4,Pretty awesome!,I do wish the speech was clearer but I do love having it right here close at all times.,pretty awesome i do wish the speech was clearer but i do love having it right here close at all times,Ads,Readability,0,1
34580663,com.bestweatherfor.bibleoffline_pt_ra,3,Just okay,Its okay if you just want to read the Bible but if you want more study or topics they can't be found.,just okay its okay if you just want to read the bible but if you want more study or topics they can t be found,Ads,Educative,0,1
34495937,com.bestweatherfor.bibleoffline_pt_ra,5,Lo Good,Really excellent! Keep It Up and go higher with more languages,lo good really excellent keep it up and go higher with more languages,Ads,Appraisal,0,1
34676702,com.bestweatherfor.bibleoffline_pt_ra,5,,Great & cn't go without it..GB,great cn t go without it gb,Ads,Offline,0,1
34773508,com.bestweatherfor.bibleoffline_pt_ra,2,,After downloading I was looking forward to start using but it doesnt open,after downloading i was looking forward to start using but it doesnt open,Ads,Bug,0,1
41458040,com.bestweatherfor.bibleoffline_pt_ra,3,Ok. But too many ad pop up,Easy. Try and reduce the ads,ok but too many ad pop up easy try and reduce the ads,Ads,Ads,1,1
37687051,com.bestweatherfor.bibleoffline_pt_ra,2,,You have to pay to remove commercials from this site.,you have to pay to remove commercials from this site,Ads,Ads,1,1
34875476,com.bestweatherfor.bibleoffline_pt_ra,4,Bible Offline,Easy to read. No logging back on,bible offline easy to read no logging back on,Ads,Offline,0,1
34974645,com.bestweatherfor.bibleoffline_pt_ra,1,Eh.,Too many ads.. couldn't reach a verse without pop-ups n flashing lights,eh too many ads couldn t reach a verse without pop ups n flashing lights,Ads,Ads,1,1
34974679,com.bestweatherfor.bibleoffline_pt_ra,5,Holy Bible,I think that there r many small mistakes but is acceptable,holy bible i think that there r many small mistakes but is acceptable,Ads,Readability,0,1
30249107,com.bestweatherfor.bibleoffline_pt_ra,5,Excelente!,Principalmente pela interatividade com outros programas e possibilidades de compartilhamentos. Agora com devocional est 100%! Ultra-recomendo.,excelente principalmente pela interatividade com outros programas e possibilidades de compartilhamentos agora com devocional est 100 ultra recomendo,Non-english,Non-english,1,1
35493529,com.bestweatherfor.bibleoffline_pt_ra,4,REMOVE THE ADDS,It's good but we dont want adds,remove the adds it s good but we dont want adds,Ads,Ads,1,1
34242457,com.bestweatherfor.bibleoffline_pt_ra,5,Simple efficient.,A great offline bible without a lot of obstructive adds or cumbersome features.,simple efficient a great offline bible without a lot of obstructive adds or cumbersome features,UI,UI,1,2
32884457,com.bestweatherfor.bibleoffline_pt_ra,4,Pretty awesome!,Excellent Bible app. Love the highlights  bookmarks  and how easy it is to get to a specific book and/or verse. The only thing I wish it would have was a login so that I can keep my notes and highlighted verses when switching phones.,pretty awesome excellent bible app love the highlights bookmarks and how easy it is to get to a specific book and or verse the only thing i wish it would have was a login so that i can keep my notes and highlighted verses when switching phones,Highlights,Highlights,1,1
29506746,com.bestweatherfor.bibleoffline_pt_ra,4,Great digital KJV Bible,I like that it is free offline and you can listen to it as well as read it. I also like the highlights and devotional. 4 stars because the ads are sometimes distracting.,great digital kjv bible i like that it is free offline and you can listen to it as well as read it i also like the highlights and devotional 4 stars because the ads are sometimes distracting,Highlights,Highlights,1,2
34874024,com.bestweatherfor.bibleoffline_pt_ra,5,Great App,Search for hours finally found you. Exactly what i needed. The translations re great. But could you add study reference pls. I love this app.,great app search for hours finally found you exactly what i needed the translations re great but could you add study reference pls i love this app,Highlights,Versions,0,1
34874137,com.bestweatherfor.bibleoffline_pt_ra,5,Offline makes it convenient,I like the highlighter feature the scripture widgets and I don't have to have access to Wi-Fi to read my Word,offline makes it convenient i like the highlighter feature the scripture widgets and i don t have to have access to wi fi to read my word,UI,UI,1,2
34974812,com.bestweatherfor.bibleoffline_pt_ra,4,,Just wish there was fewer adds,just wish there was fewer adds,UI,Ads,0,1
35117978,com.bestweatherfor.bibleoffline_pt_ra,4,,I like the daily devotional. The word diverse is spelled divers  which occasionally gives the verse a whole new meaning. Being asked to rate the app every time I change what's displayed on my screen drops the rating one star.,i like the daily devotional and the highlight feature the word diverse is spelled divers which occasionally gives the verse a whole new meaning being asked to rate the app every time i change what s displayed on my screen drops the rating one star,Highlights,Highlights,1,1
35328578,com.bestweatherfor.bibleoffline_pt_ra,3,Hate the reminders to rate,This is a great app giving you the ability to read highlight and annotate as you study multiple translations of Scripture. True excellence however is seriously undermined however by the annoyance of being asked to rate the app every single screen change. This constant demand to receive approval is petty and unbefitting; and if you want constructive suggestions start there and let us rate as we are moved to do so not out of desperation to get rid of your unrelenting begging.,hate the reminders to rate this is a great app giving you the ability to read highlight and annotate as you study multiple translations of scripture true excellence however is seriously undermined however by the annoyance of being asked to rate the app every single screen change this constant demand to receive approval is petty and unbefitting and if you want constructive suggestions start there and let us rate as we are moved to do so not out of desperation to get rid of your unrelenting begging,Highlights,Highlights,1,1
35328679,com.bestweatherfor.bibleoffline_pt_ra,4,Great App,Well designed. I would highly recommend it.  One suggestion is for a 'search bar' so as to easily get to the particular book you are looking for. Other than that it's a GO.,great app well designed i would highly recommend it one suggestion is for a search bar so as to easily get to the particular book you are looking for other than that it s a go,Highlights,Highlights,1,1
34334485,com.bestweatherfor.bibleoffline_pt_ra,5,,Can open and read anytime,can open and listen anytime,Audio,Audio,1,1
34334356,com.bestweatherfor.bibleoffline_pt_ra,5,To improve,I'm constantly changing phones and one way I would like my note and bookmarks to be saved could maybe be through some sort of sign in that will enable the users to revisit previous bookmarks and notes even if the app was uninstalled on way,to improve i m constantly changing phones and one way i would like my note and bookmarks to be saved could maybe be through some sort of sign in that will enable the users to revisit previous bookmarks and notes even if the app was uninstalled on way,Authentication,Authentication,1,1
34677413,com.bestweatherfor.bibleoffline_pt_ra,5,Very uplifting,Very uplifting in a way that you can have a verses each in every day in the devotionals.,sound like a robot,Audio,Audio,1,1
34875942,com.bestweatherfor.bibleoffline_pt_ra,5,Read it everyday,Easy to port and read,Listen to it everyday easy to port and read,Audio,Audio,1,1
34874970,com.bestweatherfor.bibleoffline_pt_ra,5,,Every day I'm reading the Bible from now to the end of time,every day i m listening to the bible from now to the end of time,Audio,Audio,1,1
34875113,com.bestweatherfor.bibleoffline_pt_ra,5,,Enjoy reading at my ownpace and and time..,enjoy listening at my ownpace and and time,Audio,Audio,1,1
33945560,com.bestweatherfor.bibleoffline_pt_ra,5,Iteresting,The stories r really interesting and resanble how things r 2 day in thisvday and age,iteresting the stories r really interesting and resanble how things r 2 day in thisvday and age,Educative,Educative,1,1
34142056,com.bestweatherfor.bibleoffline_pt_ra,5,,Very good especially the narrative for people who can't see small words like myself,very good especially the narrative for people who can t see small words like myself,Educative,Audio,0,1
34242549,com.bestweatherfor.bibleoffline_pt_ra,4,,Great way to get closer to the Word through listening and reading.,great way to get closer to the word through listening and reading,Educative,Educative,1,1
29932869,com.bestweatherfor.bibleoffline_pt_ra,5,Handy,Teaches u a lot of new things,handy teaches u a lot of new things,Educative,Educative,1,1
18600542,com.bestweatherfor.bibleoffline_pt_ra,5,Biblenoffline,Easy to find what you want to copy and use it..,biblenoffline easy to find what you want to copy and use it,Sharing,Sharing,1,1
34772699,com.bestweatherfor.bibleoffline_pt_ra,4,Comment,I like,comment i like,Sharing,Sharing,0,1
34773759,com.bestweatherfor.bibleoffline_pt_ra,5,Very Easy to Use,What I like about this app. Bookmark for easy reference. Note so I don't write on the bible. Search to find forgotten verses,very easy to use what i like about this app bookmark for easy reference note so i don t write on the bible search to find forgotten verses,Sharing,highlights,0,1
34874984,com.bestweatherfor.bibleoffline_pt_ra,5,Easy to use,You can take notes while reading and jump from scripture to scripture easy to use,easy to use you can take notes while reading and jump from scripture to scripture easy to use,Experience,Experience,1,1
33855657,com.bestweatherfor.bibleoffline_pt_ra,5,Boa,A melhor  varias vers es de varios idiomas,boa a melhor varias vers es de varios idiomas,Non-english,Spanish,1,1
33945888,com.bestweatherfor.bibleoffline_pt_ra,5,F cil de usar,Muito bom recomendo.,f cil de usar muito bom recomendo,Non-english,Spanish,1,1
34242396,com.bestweatherfor.bibleoffline_pt_ra,5,Great Bible App,Used several others and for simplicity and ease of use especially not necessarily needing a wifi connection  it beats the competition.,great bible app used several others and for simplicity and ease of use especially not necessarily needing a wifi connection it beats the competition,Practical,Practical,1,2
34429839,com.bestweatherfor.bibleoffline_pt_ra,5,Facilidad!!,Muy buena para leer y facil de manejar....,facilidad muy buena para leer y facil de manejar,Non-english,Spanish,1,1
35119053,com.bestweatherfor.bibleoffline_pt_ra,4,Undiluted word of God,Easy to use love the search function and highlighting of texts plus copying to clipboard,undiluted word of god easy to use love the search function and highlighting of texts plus copying to clipboard,Practical,Practical,1,2
34142248,com.bestweatherfor.bibleoffline_pt_ra,3,Bible online,Rate,bible online rate,Offline,Offline,1,1
34141581,com.bestweatherfor.bibleoffline_pt_ra,5,Bible Offline,Loved this version doesn't need data and I can open and read it anywhere I go!,bible offline loved this version doesn t need data and i can open and read it anywhere i go,Offline,offline,1,1
34141922,com.bestweatherfor.bibleoffline_pt_ra,5,,Love that it is available offline and can be saved to SD. Very convenient to use any time.,love that it is available offline and can be saved to sd very convenient to use any time,Offline,Offline,1,1
34141441,com.bestweatherfor.bibleoffline_pt_ra,4,,Very helpful even without internet,very helpful even without internet,Offline,Offline,1,1
