REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MAN_LABEL,STATUS,FEATURE_NUM
6990563,com.imo.android.imoim,1,,It doesn't shows the number of any friends.,it doesn t shows the number of any friends,ACCOUNT_AUTHEN,ACCOUNT_AUTHEN,1,1
26154450,com.imo.android.imoim,2,,I need mute option. And where is the privacy? The message appears on my lock screen even when I set password.,i need mute option and where is the privacy the message appears on my lock screen even when i set password,PRIVACY,PRIVACY,1,2
26756093,com.bbm,1,To many ads,Why now to many ads in bbm? I hated it,to many ads why now to many ads in bbm i hated it,BUG_REPORT,ADS,0,1
28429268,com.bbm,1,BLUR PICTURE,Years by years it's never change. A superfine pic quality always blur when change display picture !!!! Please fix,blur picture years by years it s never change a superfine pic quality always blur when change display picture please fix,UI,UI,1,1
29807656,com.skype.raider,3,Can't install,I keep on downloading the app but not installing. I tried the offline installer but to no avail.,can t install i keep on downloading the app but not installing i tried the offline installer but to no avail,VERSION_UPDATE,VERSION_UPDATE,1,1
31651658,com.talkatone.android,1,Fix call,Call keeps on closing fix it and I'll give 5 stars,fix call call keeps on closing fix it and i ll give 5 stars,BUG_REPORT,BUG_REPORT,1,1
32363590,com.imo.android.imoim,3,Unnecessary joining notices from contact list,I use it for video calling. In that its gud bt after using some time it is getting hanged. N major problem is y it gives notification to all contacts whoever is joining it. sometimes freind's friend are coming in to my list. There is no privacy in that n continues to notify till u see it. Its very much annoying,unnecessary joining notices from contact list i use it for video calling in that its gud bt after using some time it is getting hanged n major problem is y it gives notification to all contacts whoever is joining it sometimes freind s friend are coming in to my list there is no privacy in that n continues to notify till u see it its very much annoying,ACCOUNT_MGT,ACCOUNT_MGT,1,2
33837788,com.bbm,4,,Lumayan buat kangen2nan sama orang dirumah,lumayan buat kangen2nan sama orang dirumah,NON_ENGLISH,NON_ENGLISH,1,1
34467168,com.bbm,5,Congratz!,Semoga gak lemot ya,congratz semoga gak lemot ya,NON_ENGLISH,NON_ENGLISH,1,1
34920430,me.talkyou.app.im,4,Handy!,Works well with or without WiFi connection. Me and my daughter communicate with it. Sounds like talking in a tin can though. I don't use it for important calls.,handy works well with or without wifi connection me and my daughter communicate with it sounds like talking in a tin can though i don t use it for important calls,OTHER,CALL_QUALITY,0,1
