REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MAN_LABEL,STATUS,FEATURE_NUM
25406481,com.jrtstudio.music,3,It's ok?,And again thx for the tips that you sent me.,It's ok? And again thx for the tips that you sent me.,Complain,Complain,1,1
26051062,com.jrtstudio.music,5,Simple and effective,Just the right number of bells and whistles.,Simple and effective Just the right number of bells and whistles.,Complain,Other,0,1
26695835,com.jrtstudio.music,1,I hate it!!!!,When I go to the app I searched animals remix and it doesn't work this app makes no sense,I hate it!!!! When I go to the app I searched animals remix and it doesn't work this app makes no sense,Complain,Complain,1,2
26929123,com.jrtstudio.music,2,,No resons but i dnt like.., No resons but i dnt like..,Complain,Complain,1,1
27156139,com.jrtstudio.music,1,Worst,It seems just like it is song player Wich is on here already,Worst It seems just like it is song player Wich is on here already,Complain,Complain,1,1
27482865,com.jrtstudio.music,1,Dont understand! !!!!!!!!!!!,&gt;:-X &gt;x-( all I have to say is to FIX,Dont understand! !!!!!!!!!!! &gt;:-X &gt;x-( all I have to say is to FIX,Complain,Complain,1,1
25942533,com.jrtstudio.music,1,,It absolutely sucks don't get it, It absolutely sucks don't get it,Complain,Complain,1,1
26051029,com.jrtstudio.music,1,Horrible,I hate the app,Horrible I hate the app,Complain,Complain,1,1
26345491,com.jrtstudio.music,1,Doesn't work,It straight up doesn't do anything when I search nothing happens. It's just bad,Doesn't work It straight up doesn't do anything when I search nothing happens. It's just bad,Music Library,Bug,0,1
26345456,com.jrtstudio.music,1,Hated it,This app sucks,Hated it This app sucks,Music Library,Complain,0,1
26345392,com.jrtstudio.music,1,Rubbish,So rubbish cant even,Rubbish So rubbish cant even,Music Library,Complain,0,1
26345738,com.jrtstudio.music,5,Success.,After much searching the best perhaps the only music player which lists and plays classical symphonies the way I want them!,Success. After much searching the best perhaps the only music player which lists and plays classical symphonies the way I want them!,Music Library,Music Library,1,2
26345079,com.jrtstudio.music,1,This is terrible,Terrible music,This is terrible Terrible music,Music Library,Music Library,1,1
26345355,com.jrtstudio.music,1,DON'T UNDERSTAND THIS APP,Sucks,DON'T UNDERSTAND THIS APP Sucks,Music Library,Complain,0,1
26470439,com.jrtstudio.music,1,Rubbish,Couldn't find any songs I wanted to download,Rubbish Couldn't find any songs I wanted to download,Music Library,Music Library,1,1
26470477,com.jrtstudio.music,1,I hate this game,It wont let me download no music,I hate this game It wont let me download no music,Music Library,Download,0,1
26345310,com.jrtstudio.music,1,cant even download OR EVEN FIND SONGS,sucks lah basically.!! totally disappointed,cant even download OR EVEN FIND SONGS sucks lah basically.!! totally disappointed,Music Library,Music Library,1,2
26470504,com.jrtstudio.music,4,My songs to download,We are the pirates,My songs to download We are the pirates,Music Library,Music Library,1,1
