REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MAN_LABEL,STATUS,FEATURE_NUM
54382867,com.weightwatchers.mobile,5,,Easy to use. Like being able to look up recipes. Also being able to save meals is great!, Easy to use. Like being able to look up recipes. Also being able to save meals is great!,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
98010989,com.weightwatchers.mobile,4,,I like the food calculations, I like the food calculations,RECIPE_DIVERSITY,DIET_PLAN_TRACKING,0,1
30241977,jp.co.ofcr.cm00,5,Loved it,I love it cause Ican buy everything the recipes the food,Loved it I love it cause Ican buy everything the recipes the food,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
54920722,com.scripps.android.foodnetwork,4,,Lots of recipes from all the chefs on the food network. I especially like the recipes storage folder., Lots of recipes from all the chefs on the food network. I especially like the recipes storage folder.,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
69660416,com.yummly.android,5,,I like the recipes would like to see more slow cooker recipes but I love yummy foods., I like the recipes would like to see more slow cooker recipes but I love yummy foods.,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
87053750,com.yummly.android,5,,Always there when I need it. Has great everyday recipes and allows you to save easily., Always there when I need it. Has great everyday recipes and allows you to save easily.,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
97032276,com.yummly.android,5,,Great recipes that my picky eaters liked!, Great recipes that my picky eaters liked!,RECIPE_DIVERSITY,RECIPE_DIVERSITY,1,1
27782712,com.weightwatchers.mobile,2,Keeps logging me out,I am so tired of logging in every time I access the app!,Keeps logging me out I am so tired of logging in every time I access the app!,PRACTICALITY ,PRACTICALITY ,1,1
32360597,com.weightwatchers.mobile,5,Perfect,Couldn't cope without it! No more books :-),Perfect Couldn't cope without it! No more books :-),PRACTICALITY ,PRACTICALITY ,1,1
35786542,com.weightwatchers.mobile,3,Looking for a few more easy links,The app is 200 times better than before a few more tweaks and it will be perfect.,Looking for a few more easy links The app is 200 times better than before a few more tweaks and it will be perfect.,PRACTICALITY ,PRACTICALITY ,1,1
38311770,com.weightwatchers.mobile,4,Helpful,I like this app. It does get a little confusing but it is keeping me on track.,Helpful I like this app. It does get a little confusing but it is keeping me on track.,PRACTICALITY ,PRACTICALITY ,1,1
55062524,com.weightwatchers.mobile,4,,Really makes it easy to track what I'm eating! Frequently (at least once a week) the app goes down and kicks me out so I am unable to track., Really makes it easy to track what I'm eating! Frequently (at least once a week) the app goes down and kicks me out so I am unable to track.,PRACTICALITY ,PRACTICALITY ,1,1
55480427,com.weightwatchers.mobile,4,,I like the app but can't for the life of me figure out how to update my weight each week, I like the app but can't for the life of me figure out how to update my weight each week,PRACTICALITY ,PRACTICALITY ,1,1
66546673,com.weightwatchers.mobile,5,,Tracking food and exercise has never been easier!, Tracking food and exercise has never been easier!,PRACTICALITY ,PRACTICALITY ,1,1
69260297,com.weightwatchers.mobile,5,,Makes working the plan so much easier. Love being able to scan and track quickly. Connect is awesome too., Makes working the plan so much easier. Love being able to scan and track quickly. Connect is awesome too.,PRACTICALITY ,PRACTICALITY ,1,1
98552704,com.weightwatchers.mobile,1,,it wont let me move off 1 page it wont let me read through my tools it not responding, it wont let me move off 1 page it wont let me read through my tools it not responding,APP_STABILITY,APP_STABILITY,1,1
31681647,jp.co.ofcr.cm00,1,Cant open,HOW TO OPEN THE OTHER RECIPE ? I JUST HAVE 4 RECIPE .,Cant open HOW TO OPEN THE OTHER RECIPE ? I JUST HAVE 4 RECIPE .,APP_STABILITY,APP_STABILITY,1,1
91619874,com.yummly.android,1,,Too many pop-ups., Too many pop-ups.,APP_STABILITY,OTHER,0,1
32360286,com.weightwatchers.mobile,4,,Still do not like that splash screen. Scanner works good finally. Better than last update., Still do not like that splash screen. Scanner works good finally. Better than last update.,VERSION_UPDATE,VERSION_UPDATE,1,1
