REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MANUAL_LABEL,STATUS,FEATURE_NUM
42580614,com.truecaller,2,Notifications,I do not want your notifications of promoting your stuff if i can not block it i will uninstall your app,Notifications I do not want your notifications of promoting your stuff if i can not block it i will uninstall your app,In-app ads,In-app ads,1,1
112088427,com.truecaller,5,,good app. but beware people are misusing it to create a fraud. saving fraud number with bank name., good app. but beware people are misusing it to create a fraud. saving fraud number with bank name.,Security,Security,1,1
34140300,com.truecaller,5,,changing of Google account please help, changing of Google account please help,Security,Security,1,1
77373590,com.truecaller,1,,This ia total fake site harming the privacy of every individual's contact book., This ia total fake site harming the privacy of every individual's contact book.,Security,Security,1,1
14287207,com.jb.gosms,5,,they make my phone colorful, they make my phone colorful,UI,UI,1,1
126765150,com.truecaller,1,,full of add, full of add,UI,In-app ads,0,1
45944995,com.jb.gosms,5,I love it,It's great... It helps to block messages from people you don't like and it's got cool stickers and fonts,I love it It's great... It helps to block messages from people you don't like and it's got cool stickers and fonts,UI,UI,1,2
65234632,com.handcent.app.nextsms,5,,More skin and background options as well as font options., More skin and background options as well as font options.,UI,UI,1,1
80186670,com.truecaller,1,,I dont want this app, I dont want this app,UI,Other,0,1
111575126,com.truecaller,5,,just bcuz of true caller poping up while playing pubg i deleted the app. now i reinstalled it thank u for solving the issue, just bcuz of true caller poping up while playing pubg i deleted the app. now i reinstalled it thank u for solving the issue,UI,Bug reports,0,1
31470409,com.texty.sms,5,Works Flawlessly,Set and forget. The team seem committed to ensuring that it works as well as expected too,Works Flawlessly Set and forget. The team seem committed to ensuring that it works as well as expected too,Customer support,Customer support,1,1
33958439,com.jb.gosms,5,I love it.,My last update was last year and now a lot has change. Super like it thanks GO team ^_^,I love it. My last update was last year and now a lot has change. Super like it thanks GO team ^_^,Customer support,Customer support,1,2
49438708,com.truecaller,1,Not working,Unable to connect,Not working Unable to connect,Account authentication,Account authentication,1,1
116225808,com.truecaller,3,,Most times it fails to connect. This is a good app,Most times it fails to connect. This is a good app,Account authentication,Account authentication,1,1
93495502,me.nextplus.smsfreetext.phonecalls,1,,Captcha doesn't even work, Captcha doesn't even work,Account authentication,Account authentication,1,1
60367434,com.truecaller,4,,this app is not working on my phone for last few days. I'm not able to verify my mobile no., this app is not working on my phone for last few days. I'm not able to verify my mobile no.,Account authentication,Account authentication,1,1
119717884,com.truecaller,1,,worst app  for viewing caller's address we have to upgrade to premium hy paying money. My opinion is pls don't install this app, worst app  for viewing caller's address we have to upgrade to premium hy paying money. My opinion is pls don't install this app,Premium version,Premium version,1,1
128459162,com.truecaller,1,,After i upgraded to premium the call record function disappeared, After i upgraded to premium the call record function disappeared,Premium version,Premium version,1,1
48864962,com.jb.gosms,1,,Go sms pro, Go sms pro,Premium version,Premium version,1,1
120346493,com.truecaller,5,,thanks for the great service you guys offer and at an affordable price for premium! I'm IN !, thanks for the great service you guys offer and at an affordable price for premium! I'm IN !,Premium version,Premium version,1,1
25075188,com.truecaller.messenger,4,,We can't able to select the numbers in message  the only option is selection of whole content in the message.If I got this option  i'll give 5 stars, We can't able to select the numbers in message  the only option is selection of whole content in the message.If I got this option  i'll give 5 stars,User experience,User experience,1,1
46829539,com.jb.gosms,5,,I absolutely love this app..especially the private message box., I absolutely love this app..especially the private message box.,User experience,User experience,1,1
78064616,com.truecaller,5,,Much easier to find the people which is not updated in our contact list., Much easier to find the people which is not updated in our contact list.,User experience,User experience,1,1
57686701,com.truecaller,1,,After recent update I have no call history. It's all gone! Also do not like SMS message constantly appearing about switching to default messenger., After recent update I have no call history. It's all gone! Also do not like SMS message constantly appearing about switching to default messenger.,User experience,User experience,1,1
23421930,com.truecaller,3,,Please add live location, Please add live location,User experience,Other,0,1
81600576,com.truecaller,4,,Number change not easy otp does not sent fast, Number change not easy otp does not sent fast,User experience,User experience,1,1
68114361,com.truecaller,1,,My Samsung j7 mobile show true caller as device threat, My Samsung j7 mobile show true caller as device threat,Device compatibility,Device compatibility,1,1
128688510,com.texty.sms,1,,Doesnt work with android messager..., Doesnt work with android messager...,Device compatibility,Device compatibility,1,1
37446520,com.truecaller,5,Nice!,Works fine on my LG phone. No issues.,Nice! Works fine on my LG phone. No issues.,Device compatibility,Device compatibility,1,1
27170769,com.jb.gosms,3,GREAT GRAPHICS BUT..,It's great. But on my sony xperia the messages that I have been sending cannot be seen. What should I do? :/,GREAT GRAPHICS BUT.. It's great. But on my sony xperia the messages that I have been sending cannot be seen. What should I do? :/,Device compatibility,Device compatibility,1,1
33785880,com.textra,3,,Just have to deal with annoying ads right in the middle of texting on the free version and deleting things is complicated., Just have to deal with annoying ads right in the middle of texting on the free version and deleting things is complicated.,App stability,In-app ads,0,1
126987894,com.jb.gosms,5,,it works but my notification led lights arent working anymore., it works but my notification led lights arent working anymore.,App stability,App stability,1,1
26677075,com.truecaller,5,bad servis,not upadting,bad servis not upadting,App stability,App stability,1,1
58764003,com.textra,3,,It looks & works great. BUT  these In-app ads are STUPID!!!!!!, It looks & works great. BUT  these In-app ads are STUPID!!!!!!,App stability,In-app ads,0,1
113902685,com.truecaller,4,,some time it does not show the I'd of caller, some time it does not show the I'd of caller,App stability,App stability,1,1
33456711,com.handcent.app.nextsms,3,MOMMA b,It keeps force closing on my samsung galaxy 6 edge plus! Like 3 times a day! Why?,MOMMA b It keeps force closing on my samsung galaxy 6 edge plus! Like 3 times a day! Why?,App stability,App stability,1,2
128456200,com.truecaller,1,,Since some time ago it has stopped working. So downgrading rating and uninstalled. Will install and review again when it gets fixed., Since some time ago it has stopped working. So downgrading rating and uninstalled. Will install and review again when it gets fixed.,App stability,App stability,1,1
47618989,com.truecaller,1,Wirus!!;,Called all my contacts without knowing :/,Wirus!!; Called all my contacts without knowing :/,Scam identification,Bug reports,0,1
58213475,com.truecaller,5,,Don't have to stop what your doing to find out it's a spam call! Love it!, Don't have to stop what your doing to find out it's a spam call! Love it!,Scam identification,Scam identification,1,1
78468039,com.jb.gosms,1,,I was good but now ... Full of spam and annoying notifications .., I was good but now ... Full of spam and annoying notifications ..,Scam identification,Scam identification,1,1
59543456,com.truecaller,5,,It is good app But still it did not identify the exact person it identified only service circle only, It is good app But still it did not identify the exact person it identified only service circle only,Scam identification,Scam identification,1,1
55525130,com.truecaller,4,,Its useful to avoid spam calls and to identify the fake numbers., Its useful to avoid spam calls and to identify the fake numbers.,Scam identification,Scam identification,1,1
89806166,com.truecaller,5,,I can know who is calling, I can know who is calling,Scam identification,Scam identification,1,1
45097917,com.truecaller,5,Thanks!,This helps me be productive instead of answering spam calls.,Thanks! This helps me be productive instead of answering spam calls.,Scam identification,Scam identification,1,1
55120954,com.truecaller,3,,I cannot save a number, I cannot save a number,Scam identification,Bug reports,0,1
118824025,com.truecaller,5,,true caller is very useful to our business man peoples..we avoid our wrong calls disturbed calls by your true caller id..thankyou sir, true caller is very useful to our business man peoples..we avoid our wrong calls disturbed calls by your true caller id..thankyou sir,Scam identification,Scam identification,1,1
76895434,com.textra,5,,Love the amount of useful customization that is available here. The ability to rename conversations is especially useful as is pinning certain conversations to the top., Love the amount of useful customization that is available here. The ability to rename conversations is especially useful as is pinning certain conversations to the top.,Customization,Customization,1,1
127502464,com.textra,5,,Far better than I expected. Full of customizations., Far better than I expected. Full of customizations.,Customization,Customization,1,1
